Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Automatic,Petrol,Karachi,6000,"
ChanganAlsvin20211.5LDCTLumiereforSale
",2825000.0,1500,0
Manual,Petrol,Karachi,231000,"
HondaCivic2004VTiOrielUG1.6forSale
",1200000.0,1600,17
Automatic,Petrol,Karachi,83000,"
ToyotaPrado2010TX2.7forSale
",11200000.000000002,2700,11
Automatic,Petrol,Karachi,40000,"
NissanDayz2018XforSale
",1925000.0,660,3
Automatic,Petrol,Karachi,28000,"
SubaruStella2019LforSale
",2025000.0,660,2
Automatic,Hybrid,Karachi,38000,"
ToyotaVitz2018HybridU1.5forSale
",3125000.0,1500,3
Automatic,Petrol,Karachi,21000,"
SubaruPleo2018FSPECIALforSale
",2095000.0,660,3
Automatic,Petrol,Karachi,25000,"
HondaVezel2016HybridRSHondaSensingfor...
",0,1500,5
Automatic,Petrol,Karachi,48000,"
ToyotaCorolla2017GLiAutomatic1.3VVTifo...
",2850000.0,1300,4
Automatic,Petrol,Karachi,13000,"
SubaruPleo2018FSPECIALforSale
",1995000.0,660,3
Automatic,Petrol,Karachi,107000,"
NissanClipper2015GforSale
",1875000.0,660,6
Automatic,Petrol,Karachi,47000,"
HondaVezel2016HybridRSHondaSensingfor...
",0,1500,5
Automatic,Hybrid,Karachi,97000,"
ToyotaPrius2018SforSale
",4250000.0,1800,3
Automatic,Hybrid,Karachi,30986,"
HondaVezel2016HybridZforSale
",4530000.0,1500,5
Automatic,Hybrid,Karachi,32500,"
HondaVezel2016HybridZforSale
",4350000.0,1500,5
Automatic,Petrol,Karachi,93000,"
ToyotaCorolla2015GLiAutomatic1.3VVTifo...
",2450000.0,1300,6
Manual,Petrol,Karachi,35000,"
ToyotaCorolla1979forSale
",450000.0,1200,42
Manual,Petrol,Karachi,86000,"
SuzukiSwift2014DLX1.3forSale
",1365000.0,1300,7
Manual,Petrol,Karachi,135000,"
ToyotaCorolla2009XLiVVTiforSale
",1415000.0,1300,12
Automatic,Petrol,Karachi,70000,"
HondaCivicRebirth2014OrielProsmatecUGfo...
",2425000.0,1800,7
Automatic,Petrol,Karachi,36679,"
ToyotaCorolla2016GLiAutomatic1.3VVTifo...
8.5/10
",2725000.0,1300,5
